node1,node2
supreme court,nebraska nevada
kevin cramer,heidi
kevin cramer,kevin cramer   
kevin cramer,heidi
heidi,kevin cramer   
heidi,heidi
kevin cramer   ,heidi
jill norgaard,az house
jill norgaard,jill norgaard
jill norgaard,az house
jill norgaard,jillnorgaard    
az house,jill norgaard
az house,az house
az house,jillnorgaard    
jill norgaard,az house
jill norgaard,jillnorgaard    
az house,jillnorgaard    
andy kim,congress
andy kim,cory booker
andy kim,andy kim
congress,cory booker
congress,andy kim
cory booker,andy kim
supreme court,brett kavanaugh
supreme court,roe
supreme court,wade
brett kavanaugh,roe
brett kavanaugh,wade
roe,wade
jay murphy,helene miller
jay murphy,mary
jay murphy,mary
jay murphy,helene miller
jay murphy,mundelein
jay murphy,joe walsh
jay murphy,nick sauer
jay murphy,gop
jay murphy,miller
jay murphy,miller
jay murphy,mary edlyallen
helene miller,mary
helene miller,mary
helene miller,helene miller
helene miller,mundelein
helene miller,joe walsh
helene miller,nick sauer
helene miller,gop
helene miller,miller
helene miller,miller
helene miller,mary edlyallen
mary,mary
mary,helene miller
mary,mundelein
mary,joe walsh
mary,nick sauer
mary,gop
mary,miller
mary,miller
mary,mary edlyallen
mary,helene miller
mary,mundelein
mary,joe walsh
mary,nick sauer
mary,gop
mary,miller
mary,miller
mary,mary edlyallen
helene miller,mundelein
helene miller,joe walsh
helene miller,nick sauer
helene miller,gop
helene miller,miller
helene miller,miller
helene miller,mary edlyallen
mundelein,joe walsh
mundelein,nick sauer
mundelein,gop
mundelein,miller
mundelein,miller
mundelein,mary edlyallen
joe walsh,nick sauer
joe walsh,gop
joe walsh,miller
joe walsh,miller
joe walsh,mary edlyallen
nick sauer,gop
nick sauer,miller
nick sauer,miller
nick sauer,mary edlyallen
gop,miller
gop,miller
gop,mary edlyallen
miller,miller
miller,mary edlyallen
miller,mary edlyallen
jon tester      ,montanan
jon tester      ,kick jon tester   
montanan,kick jon tester   
supreme court,united decision    
supreme court,👏      
supreme court,helene miller
supreme court,mundelein
supreme court,joe walsh
supreme court,nick sauer
supreme court,gop
supreme court,miller
supreme court,miller
supreme court,mary edlyallen
united decision    ,👏      
united decision    ,helene miller
united decision    ,mundelein
united decision    ,joe walsh
united decision    ,nick sauer
united decision    ,gop
united decision    ,miller
united decision    ,miller
united decision    ,mary edlyallen
👏      ,helene miller
👏      ,mundelein
👏      ,joe walsh
👏      ,nick sauer
👏      ,gop
👏      ,miller
👏      ,miller
👏      ,mary edlyallen
helene miller,mundelein
helene miller,joe walsh
helene miller,nick sauer
helene miller,gop
helene miller,miller
helene miller,miller
helene miller,mary edlyallen
mundelein,joe walsh
mundelein,nick sauer
mundelein,gop
mundelein,miller
mundelein,miller
mundelein,mary edlyallen
joe walsh,nick sauer
joe walsh,gop
joe walsh,miller
joe walsh,miller
joe walsh,mary edlyallen
nick sauer,gop
nick sauer,miller
nick sauer,miller
nick sauer,mary edlyallen
gop,miller
gop,miller
gop,mary edlyallen
miller,miller
miller,mary edlyallen
miller,mary edlyallen
kim,kim
kim,kim
kim,donald trump
kim,kim
kim,donald trump
kim,donald trump
tony,scott walker
tony,scott walker
scott walker,scott walker
alyse galvin,congress
alyse galvin,don young
alyse galvin,don young gtgt   
congress,don young
congress,don young gtgt   
don young,don young gtgt   
ted cruz,bill reilly
ted cruz,wall street journal
ted cruz,susan collins
ted cruz,cruz bill
ted cruz,hatch
ted cruz,collins vote
ted cruz,supreme court
ted cruz,brett kavanaugh
ted cruz,susan collins
ted cruz,supreme court
bill reilly,wall street journal
bill reilly,susan collins
bill reilly,cruz bill
bill reilly,hatch
bill reilly,collins vote
bill reilly,supreme court
bill reilly,brett kavanaugh
bill reilly,susan collins
bill reilly,supreme court
wall street journal,susan collins
wall street journal,cruz bill
wall street journal,hatch
wall street journal,collins vote
wall street journal,supreme court
wall street journal,brett kavanaugh
wall street journal,susan collins
wall street journal,supreme court
susan collins,cruz bill
susan collins,hatch
susan collins,collins vote
susan collins,supreme court
susan collins,brett kavanaugh
susan collins,susan collins
susan collins,supreme court
cruz bill,hatch
cruz bill,collins vote
cruz bill,supreme court
cruz bill,brett kavanaugh
cruz bill,susan collins
cruz bill,supreme court
hatch,collins vote
hatch,supreme court
hatch,brett kavanaugh
hatch,susan collins
hatch,supreme court
collins vote,supreme court
collins vote,brett kavanaugh
collins vote,susan collins
collins vote,supreme court
supreme court,brett kavanaugh
supreme court,susan collins
supreme court,supreme court
brett kavanaugh,susan collins
brett kavanaugh,supreme court
